,Review,du_lich
0,Bổ sung thêm hình ảnh khu FLC,4
1,"Từ sân bay về đến khu resort FLC khoảng 32km, có dịch vụ đưa đón ở sân bay nên cũng tiện cho khách, khi đến cồng vào có bảo vệ kiểm tra, xác nhận khách ở trong khu FLC mới cho vào, cả một khu biệt lập nhìn khá đẹp mắt bằng kiến trúc nhìn xa giống như chiếc thuyền. Nhóm mình đặt phòng khu khách sạn, mỗi phòng lớn có không gian bếp chỉ để thức ăn đóng gói, không nấu nướng, 1 phòng khách và 2 phòng ngủ, 2***riêng, từ ban công nhìn ra hướng hồ bơi và biển rất đẹp. Về phần buffet sáng không ngon, dịch vụ liên kết với safari hay khu tham quan Eo Gió không chặt chẽ, nhóm mình được free 2 vé theo chế độ và mua thêm vé trước khi đến FLC, nhờ nhân viên check thông tin thì được báo là chưa mua, phải check đi check lại mấy lần thì được xác nhận tại quầy tiếp tân là đã mua đủ vé. Đến khi qua khu safari và Eo Gió đều bị chặn lại bắt mua vé, phải mất cả buổi xác nhận với bên FLC mới được vào. Mình thấy tiêu chuẩn 5 sao nhưng dịch vụ chưa thực sự đạt chuẩn.",4
2,Khách sạn 5 sao hình như cơ sở vật chất cũ và có nhiều bất tiện. Nhà mình được thông báo nhận phòng lúc 14h00 nhưng phải đợi rất lâu mới được nhận. Người ở trong khách sạn văn hoá không cao. Dịch vụ chậm chạp. Thật sự sẽ không quay lại,2
3,"Vợ ck mình và e bé dươi 1 tuổi mới nghỉ ở flc hotel quy nhơn về. Phòng ốc và dịch vụ thì mình thấy ok nhưng lúc mình đến thấy làm check in rất lâu, có khách đến từ 12h làm check in mà lúc mình đến là 14h20 vẫn chưa có phòng cho khách vào. Bữa sáng buffee free trông có vẻ nhiều món, đa dạng kiểu âu á gì cũng có nhưng chất lượng đồ ăn thì không ngon lắm, quanh đi quanh lại ko biết ăn gì. Về cơ bản các món âu hay á đều chỉ là các món basic và nấu ko tới. Ví dụ cơm rang cá mặn ko ngon, hoa quả thì toàn hoa quả rẻ tiền, ko tươi. Đồ uống thì toàn đồ pha sẵn là chủ yếu, ví dụ nước cam ko phải cam tươi mà là loại nước cam hộp bán trong siêu thị. 

Điều không chuyên nghiệp nhất là khi khách đến, nhất là khách có trẻ em ko giới thiệu hay cung cấp thông tin cho khách về khu kid club hay gym như time mở cửa, nằm ở khu nào... nhà m có bé nên phải đi tìm mãi. Được cái kid club khá ok và khu vui chơi trươdc kid club cũng khá thích, các bé chắc rất thích

Mình có bé nhỏ, trưa nắng ngại nên quyết định ăn ở nhà hàng hương biển trong FLC luôn. Nhưng đầu bếp nấu cũng rất chán, m gọi mỳ xào hải sản thì quá nhiều mỡ, cơm rang hải sản thì quá khô, nộm hải sản thì tạm được, ko ngon bằng quán món quê ở eo gió. Giá tjif mình thấy bidnh thường, nhưng lưu ý giá trên menu là chưa bao gồm phí phục vụ và vat :( nhưng lúc đưa menu cho khách gọi món thì ko thông báo trước. Tuy nhiên giá đó so với chất lượng món ăn tjif lại thành đắt. Được cái view biển đẹp, mát. 

ở flc có thể gọi xe của các quán ăn ở ngoài eo gió vào đón nên nếu nhà ko có bé nhỏ thì ra eo gió ăn ngon hơn và rẻ hơn đấy. Một lưu ý nữa là biển ở quy nhơn sóng to nên bé nhà mình mới 10 tháng tuổi ko tắm biênt đuoejv, chỉ tắm được bể bơi nên hơi buồn. Hồi 4 tháng m cho bé đi phú quốc, bé tắm biển rất thích vì sóng êm. Nhà nào con nhỏ lưu ý nhé.",4
4,"Mình trở lại FLC Quy Nhơn lần này sau khi mua được Vouchers dành cho gia đình (3 ngày 2 đêm + vé máy bay khứ hồi cho 04 người) quá ổn với giá 10.000.000đ. Phòng gia đình quả là rất đẹp, gồm 1 phòng khách, 02 phòng ngủ với nhà vệ sinh riêng biệt (Phòng ngủ bố mẹ giường đôi, phòng ngủ trẻ em 02 giường đơn). Mặc dù xa trung tâm thành phố Quy Nhơn, nhưng hàng ngày FLC có 02 chuyến xe miễn phí (09h và 14h45) đưa, đón khách vào trung tâm thành phố, ngoài ra còn có 02 chuyến xe (06h và 16h20) đưa khách tham quan Eo Gió cũng miễn phí (chú ý: Các bạn phải đặt chỗ trước tại quầy lễ tân nhé). Nếu đi vào các ngày trong tuần (trừ thứ 7 và chủ nhật) còn có thể liên hệ để xe điện đưa đi tham quan toàn bộ khu nghỉ dưỡng, cũng như ngôi chùa nằm trong khu nghỉ dưỡng. Buffet sáng phong phú. Nếu các bạn không muốn ăn tối tại FLC có thể ra các nhà hàng ở làng chài gần đó thưởng thức hải sản vd: Nhà hàng Hoàng Thao, Hạnh Thảo, Cây Cau.. giá cả cũng hợp lý (Nhà Hàng Hoàng Thao, Hạnh Thảo còn có xe đưa đón khách tại sảnh. Mình chỉ lưu được số điện thoại của Hạnh Thảo: 0978 047 863; 0355575264). Mong rằng cũng cấp được một số thông tin hữu ích cho các bạn đến sau.",4
5,"Một nơi để nghỉ dưỡng tuyệt vời. Mình ở 3 ngày 2 đêm. Mình đi không trong mùa du lịch nên giá tương đối ổn, buffet sáng ngon lắm, biển đẹp cảnh đẹp, phòng loại studio rất đẹp và tiện nghi. Có điều hơi xa trung tâm, đi từ FLC ra trung tâm cũng mất cả hơn nửa tiếng.",4
6,"Một chuyến du lịch nghỉ dưỡng đúng nghĩa với mình ❤️ Mình ở 4N3D nên là đi gần hết các đảo Kỳ Co, Eo gió luôn đẹp lắm mn ạ
Thức dậy vào sáng sớm chỉ là k thể dậy sớm hơn để ra eo biển ngắm bình minh mà phải ngắm từ phòng ngủ 😂 
Buffet sáng đa dạng, nhiều món vẫn chưa ngon lắm, nhân viên rất lịch sự, nhanh nhẹn, chu đáo đúng kiểu "" gọi dạ bảo vâng "", khó mà tin được nhân viên ở đây lại có thể "" vào khuôn đúc "" như vậy vì du lịch Quy Nhơn chỉ mới nổi gần đây à. Biển đẹp, bể bơi vào ban đêm lung linh, chiều chiều là mình lại ra đây bơi, tiện nghi và sang trọng",5
7,"Giá vé tham quan FLC như sau: đi bộ 75k/người, đi xe điện 175k/người. Giá vé bao gồm 1 phần nước ngọt hoặc suối và sử dụng bãi biển. Mình khuyên các bạn nên đi xe điện vì FLC rất to và nắng, đi bộ từ cổng vào đến building gần nhất tầm 1km, say nắng là chắc. Vé sử dụng hồ bơi là 185k/người lớn. Resort to rộng và đẹp. Nhà hàng Ocean Pool Bar kế bên hồ bơi phục vụ đồ ăn ngon, nhiều, và giá không hề mắc so với các resort khác (từ 80k-150k/ món). Quán chủ yếu phục vụ đồ Tây. Nhân viên chủ yếu là người dân Quy Nhơn nên học thân thiện và hiền lành. Bảo vệ cổng nhiệt tình và sẵn sàng hỗ trợ cho khách, cũng như hướng dẫn đường đi ra Kỳ Co cho khách vãng lai. Tuy nhiên, mình cảm thấy để đạt được chất lượng phục vụ chuyên nghiệp đúng 5sao thì còn cần training nhiều. Ví dụ: dưới bàn mình ngồi có rác nhưng từ lúc mình đến uống nước, trả bàn ra biển, quay lại ăn chiều, rác vẫn còn ở đó. Nhân viên bán vé tham quan có cách trả lời thắc mắc cho khách tham quan về việc ngưng phục vụ cho xe điện trong dịp lễ, gần giống với nhân viên bán vé trong công viên vui chơi bình dân. Tổng quan thì FLC vẫn là nơi rất đáng lưu trú khi du lịch Quy Nhơn vì nó nằm ở vị trí cực đẹp, hồ bơi siêu to và đẹp.",4
8,"Mình thấy chỗ này đẹp, xứng đáng là khách sạn 5 sao nhé. Dịch vụ ở đây rất tốt vì resort to nên phải di chuyển bằng xe điện. Trong resort có nh nhà hàng cao cấp ăn uống các loại đồ ăn khác nhau, ngoài ra codn có siêu thị mini để mình mua đồ ăn ngoài như mỳ tôm xúc xích cơ )) buffet sáng ở đây cx ngon và đa dạng, cảnh quan ở đây thì đẹp? View từ phòng mình cx rất đẹp đi 1 chút là ra bể bơi to đùng sát biển luôn như ảnh mình chụp, đẹp lắm",5
9,Chỗ này rất đẹp và hiện dại,5
10,"Flc quy nhơn rất đẹp có khu trò chơi đánh gôn, khu ẩm thực đêm , nhà hàng, hồ bơi rất nhiều quá đa dang đặc biệt là có sở thúddc bình chọn là nơi ngắm hoang hôn đẹp nhất nước ta",5
11,"Mình đặt 1 phòng Gia đình cho cả nhà có một số nhận xét như sau:
- Không gian rộng rãi nhiều cây cối kết hợp với gió biển rất thoáng đãng. Phong cách thiết kế chung theo hướng hiện đại với tông màu sáng, nhìn xa khu khách sạn có thiết kế lấy cảm hứng của 1 chiếc du thuyền.
- Bể bơi liên hoàn, với nhiều độ sâu khác nhau nên phù hợp với tất cả thành viên trong gia đình từ người lớn tới trẻ nhỏ. Tuy nhiên không có bể bơi trong nhà, hơi bất tiện nếu hôm nào thời tiết lạnh hoặc mưa.
- Phần sảnh rộng, trần cao với các khung kính lớn đón ánh sáng tự nhiên kết hợp với ánh sáng trang trí nên trông khá sang trọng và hài hoà.
- Phòng nghỉ mới, thiết kế hài hoà. Tuy nhiên nếu để ý kỹ thì có một số thiết bị hơi xuống cấp như TV (bị lỗi điểm ảnh nhỏ giữa màn hình) phần sàn gỗ trước cửa phòng vệ sinh hơi phồng nhẹ,... Tuy nhiên có thể do mình hơi kỹ tính nên nếu cải thiện sẽ hoàn hảo hơn.
- Có xe đưa đón miễn phí theo 1 số khung giờ cố định đến Eo Gió.",4
12,"🌸 Đợt vừa rồi mình cũng gia đình có đến FLC Resort ở Bình Định. Vì là đi về trong ngày nên cũng không nhận xét được phòng ốc như thế nào. Nhưng phải nói là đây là khu resort siêu siêu đẹp. Thiết kế nhìn lạ và đẹp mắt. Đường đi đến đây cũng hơi quắn quéo 1 tẹo, nhưng tra google map là ra thôi. Từ cổng vô đến khu resort cũng hơi hơi xa đó. 
🌸 Giá vé cho khách tham quan là 50k/1 người. Theo mình nhớ là nếu như chỉ vào tham quan thôi thì sẽ trả như vậy. Nhưng nếu như vào tham quan và có sử dụng dịch vụ ăn uống thì sẽ được trả lại tiền vé. Ví dụ đi bốn người, phải ăn 4 món, mỗi món phải trên 100k thì ra sẽ được trả lại tiền vé cho mỗi người. Nếu đi 4 người, ăn 4 món mà 3 món trên 100k còn 1 món dưới 100k thì chỉ trả lại tiền vé cho 3 người. 
🌸 Đồ ăn ở đây ăn cũng được, vừa thôi chứ không phải là xuất xắc. Trình bày cũng được. Vì khá lúng túng không biết món nào ngon nên mình ăn theo recommend của chị nhân viên. Món sushi mình ăn không ngon, còn lại 3 món kia ăn vừa miệng. Mình không nhớ tên món nhưng có một món là chả tôm hùm ăn ngon lắm.
🌸 Nhân viên lịch sự, hiền lành và thân thiện.",4
13,"FLC Luxury Resort Quy Nhon chắc là 1 trong những resort hằng đầu ở Quy Nhơn. Vị trí gần biển thuận tiện sáng sáng đi ra hóng gió, đón bình minh nữa. Chưa khi nào thấy không khí tuyệt diệu như tại đây. Quy Nhơn luôn mang đến cho mình nhiều cảm xúc hehe.

Về phòng ốc, FLC Luxury Resort thiết kế rộng, sang trọng. Từng góc đều decor rất tinh tế. Bước vào phòng chỉ muốn nằm xuống ngã lưng ngay lập tức. Mấy bạn nhân viên cũng chu đáo và chuyên nghiệp. Khi nào có dịp ra đây mình lại ghé...",4
