 ,Review,giai_tri
0,"Cập nhật phim mới nhanh
Rạp sạch sẽ khá ổn
Mua 2 vé chiều chủ nhật mỗi vé 60k
1 combo bắp phô mai + nước tận 210k ( không biết tại sao?) mình cũng ngơ quên hỏi, hay chỉ vì cái ly đẹp?
Mà trong rạp mình thấy có vài ng giống mình, còn lại đều là ly nhựa bình thường? Thắc mắc",4
1,"Mình hay đi mua sắm ở đây nên lúc đi với bạn cũng hay lên này xem phim , ghế khá ok , âm thanh ổn, không bị vọng nhiều , chất lượng nghe sống động , màn hình rộng, ngồi hàng tầm từ 4 trở đi, hàng G sẽ ok hơn , mấy bạn nhân viên ở đây khá nhiệt tình và thân thiện, hướng dẫn đến ngồi từng hàng ghế, rất chuyên gnhie65p như trong sg í, mình đánh giá rất cao điểm này",4
2,"Bọn mình từ xa đến, đã coi lịch chiếu trên mạng là có suất 22h15 vậy mà mất nửa tiếng chạy đến nơi thì bảo là hủy suất này rồi mà trên web chưa update. Ôi trời ơiiiii rõ ràng là vì ít ng đặt nên hủy sớm mà",1
3,"rạp rộng , màn hình to , chát lượng tốt",4
4,"Không gian thoáng với nhiều khu vực nghỉ cho khách đợi phim.
Chất lượng phim ảnh tuyệt nhất mà minh từng xem. Hơn hẳn các rạp khác ở quy nhơn , đương nhiên giá cả mắc hơn. 
CGV có chương trình tặng quà sinh nhật cho các chủ thẻ thành viên. Mình thì được tặng combo cgv, 2 nước 1 bắp.
Bắp phần trên hơi nhạt tí, nước thì nhiều. Xem hết phim còn chưa uống hết nước. Bắp cũng vậy. Có điều kiện thì nên thử hương vị bắp khác, thêm tầm 17k để đổi vị Caramel, phô mai,...Ngoài ra còn nhiều khuyến mãi dành cho sinh viên với giá vé 50k",4
5,"Tuy rạp cgv Quy Nhơn có lúc ko chiếu một số phim hay nhưng về giá cả của rạp thì khá rẻ cũng như có nhiều chương trình ưu đãi , cách trang trí của rạp cũng rất riêng nữa, hầu như tuần nào mình cũng ghé rạp cày vài bộ phim cả",4
6,"Nhà mình ở ngay đối diện bến xe mà Big C thì ngay sau lưng bến xe nên đi bộ 1 tí là tới. Rạp CGV vốn là thương hiệu lớn rồi, chuyên cập nhật toàn bom tấn mà rạp thì xây dựng quy mô chuẩn nên chất lượng không có gì phàn nàn. Mình rất thích cách thiết kế không gian của hệ thống rạp này nên nhìn rạp ở Big C là ưng ngay. À có 1 khuyết điểm nhỏ là máy lạnh trong rạp đôi khi lạnh quá mức nên đi xem phim giữa mùa hè mà phải vác theo cái áo khoác :v. Về giá cả thì vốn các hệ thống rạp lớn như Lotte cinema hay CGV giá vé niêm yết như thế rồi, cũng là phù hợp với chất lượng chuẩn của rạp phim cơ mà nếu được phàn nàn thì nó ko phù hợp với túi tiền sinh viên cho lắm thành ra lâu lâu mới dám đi vào những dịp đặc biệt thôi ))).",4
7,"Chất lượng rất tốt, vì là rạp phim hiện đại đầu tiên ở Quy Nhơn nên rất được ưa chuộng. Giá cả cũng rất vừa túi tiền cùa học sinh sinh viên như mình, nên cứ vào khoảng cuối tháng mình thường đi xem phim với bạn bè. CGV thỉnh thoảng có những chương trình ưu đãi rất hấp dẫn, nhưng chất lượng vẫn rất tuyệt.",4
8,"Mình đi du lịch Quy Nhơn nhay đợt CGV khai trương giảm giá, bạn bè rủ rê nên quyết định đi luôn xem CGV SG với CGV Quy Nhơn khác nhau hơm. 
Phong cách trang trí hệt nhau ~~ cùng một đẳng cấp. Phòng chờ khá rộng và thoáng, trang trí đẹp. 
Cung cách phục vụ cũng tử tế mhưng có vẻ không chuyên nghiệp như SG. Chắc do lúc mình đi là mới mở. 
Chất lượng phòng xem phim, ghế ngồi, âm thanh, hình ảnh đồng bộ cả hệ thống nên không còn chỗ chê.",4
9,Nice staff,4
10,"Nhân viên vui vẻ, chất lượng rất tốt và giá thì cũng rất ""nóng"" hihi",3
11,"Điểm đến lí tưởng cho các bạn trẻ ở Quy Nhơn. 
Rạp CGV hiện đại - phong cách phục vụ chuyên nghiệp - tận tình",4
12,"Rạp chiếu phim quốc tế đầu tiên tại quy nhơn, coi phim cực chuẩn, giá thành hơi hot, rất thích hợp cho mọi lứa tuổi...",4
13,"Quán khá lớn, khá sang rộng nên mình và gia đình quyết định vào xem như thế nào. thấy menu quán khá nhiều món, đều mình thấy giá hơi mắc so với view quán, nhưng vẫn gọi để thử xem thức ăn ở đây như thế nào( vì vào lở rồi) :)). Thực sự thì hơi buồn về quán, thức ăn không được ngon chờ rất lâu. Thấy quán cũng khá đông nhưng không biết người ta đến lần đầu hay sao những theo mình nghỉ với số tiền đó có thể lựa chọn những quán khác đẹp hơn ngon hơn rẻ hơn!",2
