 ,Review,homestay
0,"Lâu lắm rồi mới tìm được quán nước ưng ý như vầy ở Quy Nhơn. Từ decor đến menu đều làm mình vô cùng hài lòng luôn. Góc nào của quán cũng có thể sống ảo được luôn ấy :3 Menu thì món chủ đạo của quán là trà thảo mộc, có rất nhiều loại trà kèm công dụng để mọi người dễ dàng lựa chọn, ngoài ra thì quán vẫn có cà phê nước ép các loại luôn :3 Giá thì theo mình thì khá là bình dân, 1 set trà cho 2 người chỉ từ 39 đến 69k thôi :D Tối tối lên tầng thượng gọi set trà thảo mộc vừa nhấm nháp vừa ngắm mây trời cảm thấy bình yên thiệt sự :3",5
1,"Có book phòng ở ks 3 ngày, phòng xinh bạn tiếp tân dễ thương hihi
Vì 2 ngày đi chơi đuối vc mình lại lò mò lên tầng 3 uống cf ngay ks luôn , phải công nhận nước uống rất hợp vị kakakak lại rẻ và view thì bao đẹp kakak
Với một đứa rất thích uống trà lại thấy trà ở quán rất vừa vị mình hihi
Sẽ quay lại dài dài nếu về lại quy nhơn 
Up vài pic trước khi về lại sài gòn :x
P/s: bé làm nước dễ thương kakka",5
2,"Thiệt sự phải cho Sea&Sail điểm 10 về không gian. Chỉ cần đưa máy lên là có góc đẹp, có cả không gian trong nhà và ngoài trời , tất cả đều được trang trí rất tỉ mỉ. Ngồi trong nhà cảm giác ấm cúng và ngược lại không gian ngoài trời thoáng và thoải mái hơn. Quán vừa mang phong cách cổ điển vừa hiện đại nên đây chắc chắn là không gian sống ảo cực xịn. Menu của quán cũng rất đa dạng, từ đồ uống đến bánh ngọt. Mà giá thì không quá chát , chỉ từ 25k-35k thôi. Chắn chắn sẽ quay lại đây ^^",4
3,"Nếu được hỏi mình thích quán này ở điểm nào, thì mình thích nhất ở cái không gian. Không gian rộng và thoáng mát vô cùng. Được đầu tư tỉ mỉ trang trí thiết kế vừa hiện đại vừa cổ điển. Đồ uống ở đây đa dạng vô cùng. Mình uống mà cảm nhận được sự tinh tế trong cách pha chế. Không quá ngọt, thanh thanh và thơm hương trái cây, trà cũng vậy thơm nhè nhẹ, mình cực kỳ thích. Ở đây còn có bánh ăn kèm nữa cũng tuyệt không kém, mềm mềm, thơm thơm, beo béo. Ước gì mình có nhiều tiền để ngày nào cũng được đến đây.",4
4,"Y như đi biển thịet luôn , quán nhiều view đẹp lắm , mình đón bạn ở sào gòn ra, đi nhóm 4 đứa , 2 đứa ở hostel ở đây , phòng decor mAt đã luôn , trà ở đây có trà thảo mộc , uống thanh thanh , chút ngọt dịu khá ok , bạn mình ở phong hostel thây cũng ổn , có cái ngồi trên sân thượng í , chieu tối ngồi mát chứ sáng hơi nắng chút, chắc chắn sẽ quay lại",4
5,"Mình ở home mới bên 20D Hoa Lư. Home có không gian tinh tế và trau chút đến từng chi tiết. Nhìn vào đó mình cũng đoán được chủ nhà phải là người có tâm đến như thế nào. Mọi thứ đều sạch sẽ, gọn gàng. Mình chọn phòng ở tầng cao nhất có ban công nhìn ra sông. Phòng tuy nhỏ nhưng ấm cúng, trang trí và màu sắc hài hoà. Mình thích hơn cả là con người ở đây, thân thiện, nhiệt tình, sẵn lòng giúp đỡ. Anh chị chủ vô cùng nhiệt tình và gần gũi. Sau này có dịp quay lại mình sẽ vẫn chọn nơi này",4
6,"Tọa lạc ngay trung tâm tp Quy Nhơn.
Một không gian ở dễ thương, được chăm chút kĩ càng. 
Có cho thuê xe máy , lều camping, vv..
Chủ nhà thì hòa đồng , thân thiện và đặc biệt là anh chủ nhà cực kì yêu nhiếp ảnh :) 
Giá phòng thì cực kì hợp lí :)) ahihi
Trên sân thượng còn có 2 cái lều camping cho thanh niên nào thích cảm giác lãng mạn kèm hoang sơ :v :v 
Nói chung là highly recommended.",4
7,"Thêm một homestay đẹp lung linh ở quy nhơn nữa mà, mình thích homestay này vì không gian sạch sẽ mà lại ấm cúng của nó. Tự dưng bước vào cảm giác vừa lạ vừa quen sao á, lạ vì không gian mới mẻ và đẹp nữa, còn quen thì do ở home được thiết kế như ở nhà mình vậy
thêm một điều nữa đó là home còn có lều ở trên sân thượng nữa, nếu mà muốn ngắm trăng sao cùng ai đó thì cứ thuê 2 cái lều nì, tối đến ngồi bên nhau ngắm trăng sao thì lãng mạn hết biết luôn kaka",4
8,"Mình ở Phú Yên ra Bình Định du lịch vài ngày và phải nói là việc ở Chang homestay make my trip more interesting ý.
Đầu tiên là phòng, decor cực kì xinh xắn, phòng mình ở có cửa sổ nên cực kì thoáng, ánh sáng tự nhiên tràn ngập ahihi. Ở đây có cho thuê xe máy luôn, cực kì tiện, giá phòng với giá thuê xe cực rẻ luôn.
Các anh chị nhân viên với chị chủ quán siêu nhiệt tình, chỉ cho mình chỗ đi chơi, chỗ ăn uống đúng chuẩn ngon-bổ-rẻ.
Tầng dưới của home là quán cafe, quán rộng, thoáng đãng, đồ uống ngonn, ở home order đồ uống được đem lên tận gường luôn, chu đáo cực.
Nhất định sẽ ghé lại đây :))))",5
9,"Mình là dân bản địa Quy Nhơn và rất hay ghé quán uống trà sữa với cả đọc sách. Cá nhân mình thì thấy nước uống ở đây ngon, ổn, phù hợp giá tiền, thích nhất là uống các món có machiato và sữa tươi trân châu đường đen. Bị thích không gian của quán, thoáng mát yên tĩnh chứ không gây ngộp như các quán trà sữa khác 💕💕
Mình cũng có nhờ bạn nhân viên dẫn mình xem homestay ở tầng trên (4 tầng, 2 tầng trên là homestay và 2 tầng dưới là cafe). Decor không quá đặc sắc nhưng mình thấy dễ thương, phù hợp với giá tiền, từ 50k gường dorm đến 200-250-300k tuỳ các loại phòng khác nhau. Homestay còn có khu vực bếp cho khách, có đủ các dụng cụ nấu nướng và cả tủ lạnh. Rất rất ổn luôn ❤️❤️
Mình chỉ có hình nước mình uống thôi, trên home thì mình không có chụp, chỉ tham quan thôi.",5
10,"Mình đến đây cách đây vài tháng, đầu tiên về decor, so với mặt bằng chung thì không có gì đặc sắc lắm. Mình có xin nhân viên cho đi 1 vòng tham quan homestay, không gian homestay so với mức giá thì mình nghĩ khá hợp lý, khoảng từ 250k - 350k tuỳ theo phòng đôi, phòng dorm, phòng có view đẹp. Và điều làm mình ấn tượng nhất là món cà phê trứng ở đây, trứng béo béo, được đánh bông lên, quyện cùng hương thơm, vị ngọt vừa phải của sữa, trời se se lạnh mà nhấp môi tí thôi là ngất ngây <3",4
11,"Gọi 2 li ép dứa và ép chanh dây
Nước thơm, ngon
View tường vàng đẹp, lí tưởng để sống ảo",4
12,"💥Cô chủ nhỏ dễ thương 😍😍
💥 có món sữa chua nếp cẩm ngon hết xẩy 
🎉🎉 có dịp trở lại sẽ ghé tới",5
13,"Đã có ai check in home stay - coffee cực dễ thương này chưa. Phải nói đây là địa điểm sống ảo bật nhất quy nhơn. Không cần phải vượt cả trăm cây số để lên đà lạt chụp tiệm bánh cối xay gió nữa . không những không gian đẹp, sống ảo xịn mà còn có coffee cực chất. Không gian ấm cúng, nhẹ nhàng dành cho những bạn thích yên tĩnh . Thời tiết se se lạnh của quy nhơn mà gọi ấm trà thảo mộc uống thì tuyệt cú mèo. đến nhà bà xíu ngay thôi chị em ơi",4
14,"Biết đến quán do rv trên tiktok nên mò tới, ko gian quán ko mới nhưng mà xinh và chill lắm.

Nv quán nhiệt tình, đồ ăn ngon, có homestay tại đây luôn nên lần sau đến QN mình sẽ book một căn khu này vì view đẹp, ăn ngon và giá cũng gọi là tàm tạm từ 70-200k tuỳ món như vc mình uống 1 shot, 1 bia QN, 1 mocktail gừng và 1 dĩa mỳ Ý là 250k. Giá cũng tạm tạm.

Ngoài ra đc gọi ốc ở ngoài vô trong ăn nữa, vì để vào dc trong lần lần bên ngoài bán ốc rất nhiều có nv trong quán chủ tiệm bên ngoài :)) ăn gì kêu chỉ nên tốn thêm 250k ăn ốc nữa",4
15,"Big Tree Backpackers and Bistro có thể xem là một hostel bãi biển. Nơi đây  cung cấp chỗ ở tại Xóm Bãi Xép và có Wi-Fi miễn phí, nhà hàng cũng như sân hiên. Khách có thể dùng bữa tại nhà hàng trong khuôn viên. Menu rất đa dạng, có menu riêng cho mỗi ngày và thực đơn đặc biệt cho cuối tuần. Ở đây khách tây và khách du lịch rất đông, do ở trong khu du lịch. Có nhiều món khá lạ như món cơm thập cẩm của Tây Ban Nha, tên Paella, pumpkin ravioli, mỳ ý loại vuông, ngoài ra còn có đồ ăn việt thông thường",4
16,"Mới phát hiện ra ẻm homestay dễ thương kute lạc lối giữa lòng thành phố đây .Với lối kiến trúc mộc mạc kết hợp màu xám của tường đất và màu xanh của lá cây 🌴 NT House đem đến một trải nghiệm đặc biệt, hòa mình cùng thiên nhiên giữa lòng thành phố rất thích hợp cho những bạn phượt thủ muốn trốn tránh tiếng ồn nơi thành thị hoặc những du khách nước ngoài muốn trải nghiệm cuộc sống của người dân địa phương. Có khá nhiều sự lựa chọn cho các bạn , phòng đơn , phòng đôi và phòng theo nhóm . Nhân viên cực kì nhiệt tình và thân thiện",4
17,"NT House nằm tại 49 Phùng Khắc Khoan (gần ngã ba đống đa) gần như là trung tâm của thành phố Quy Nhơn nên khoảng cách đến các địa điểm du lịch, khu vui chơi,... là không quá xa. Với thiết kế độc đáo: màu xám của tường đất và màu xanh của cây lá tạo cảm giác gần gũi và thoải mái. Phòng rất sạch sẽ với tông màu đất nên mùa đông thì ấm và mùa hè thì mát. NT House có tổng cộng 10 phòng trong đó 2 phòng SPECIAL dành cho 4 người, 4 phòng TRIP dành cho 3 người và 4 phòng TWIN dành cho 2 người. Giá cả cũng phải chăng: 120.000VND/1 người/1 đêm phù hợp với những bạn phượt thủ và du khách nước ngoài. Ngoài ra còn có các dịch vụ vé máy bay giá rẻ và tour du lịch nên rất tiện cho du khách khi ghé ngang NT House",4
18,"Mình từ Phố núi Pleiku lang thang xuống thành phố biển gần nhất. Quy Nhơn không xô bồ như Đà Nẵng, nhưng nó cũng có nét riêng. Vì không phải thành phố du lịch nên Homestay ko nhiều lắm. Lạc bước vào Larose là thấy bình yên rồi.
Phòng được dọn gọn gàng, chăn nệm ngăn nắp tinh tươm. Bước vào là muốn ngả lưng nghỉ ngơi sau một chặng đường hơn 160 km.
Nghỉ ở đây, chiều xách xe lang thang ra đầm Thị Nại hay ra phía bãi biển, kiếm chút hải sản nhâm nhi thì tuyệt vời. Dân ở đây khá hiền lành. Mình cũng thích Quy Nhơn ở một mức độ nào đó ",4
