 ,Review,an_uong
0,"Quán thiết kế khá đẹp có 2 tầng với không gian rộng rãi, thoáng mát. Trang trí hài hoà cho bạn và gấu tha hồ check-in, rất phù hợp với các bạn thích sự mới mẻ và sáng tạo nhé.
Nhân viên phục vụ thân thiện, tận tình, có nhân viên giữ và dắt xe.
Tủ kem thì nhìn siêu hấp dẫn, được làm từ các loại trái cây tươi ngon tuyệt. Đủ hương đủ vị như sầu riêng, dâu, xoài, chanh dây, đào, dưa lưới, kiwi, cam, bạc hà, dừa, matcha, tiramisu, oreo, nho, việt quất, rum, socola,... cho bạn tha hồ chọn lựa. 
Thức uống và các loại bánh âu ở đây cũng khá khá là ngon luôn. Các bạn tha hồ quẹo lựa.
Các bạn nào có kẹt lịch làm hay kẹt đi học đã có ship tận nơi với hotline: 0256.383.1907",4
1,"Jolly , kem tự chọn, với tha hồ các vị kem , các topping ăn kèm , kem ở đây rất ngon , mình thích vị dừa ở đây nhất , rất đặc trưng , thơm ngon , topping thì phong phú , nhân viên cũng thân thiện , lâu lâu mới có dịp ghé tiệm kem , ngồi tán gẫu với bạn bè những ngày rảnh rỗi là quá tuyệt rồi , tiệm có không gian cũng thoáng mát , quán hình như 10 đã đóng cửa rồi , . . .
Nước uống ở đây cũng ngon lắm nha , 
Nói chung các bạn nên ăn kem thử ở đây 1 lần.",4
2,"Hôm nay chủ nhật, nên mình và cô bạn ghé quán này với mục đích thưởng thức kem và tám chuyện. Cả hai mục đích đều thành công rực rỡ, vì thứ nhất, quán khá rộng, mát mẻ và có không gian dễ thương với tông chủ đạo màu trắng và những hình ảnh vẽ trên tường rất ngộ nghĩnh nên tám rất thích, Thứ hai là về phần thực đơn, quán món gì cũng có, nào bánh, nào sữa, nào kem...Chỉ cần chọn món mình thích là có ngay. Khách quan mình thấy đồ uống đây khá ngon, bánh cũng rất tuyệt. Nên sẽ còn quay lại nhiều lần.",4
3,"Mình order sửa tươi trân châu đường đen, sữa béo ngon, nhưng hơi ngọt, trân châu rất mềm và thơm. Nên làm.ít ngọt 1 chút sẽ ngon và đỡ ngán hơn, KG quán rộng rãi, dễ thương, thích hợp cho sv, giá tiền cũng rẻ nửa. Có ăn thêm mấy cái bánh su kem, nhân kem rất ngon và béo, ko như những loại bánh su thường đâu.",4
4,"Thiết kế quán khá thu hút người nhìn, phục vụ tốt, đồ ăn ngon. Mình vừa test hôm qua, rất ưng ý",4
5,"Nhóm mình vào rất đông. Bọn mình order đầu tiên, chỉ có 1 trà sữa chân trâu và 1 lục trà trái cây, nhưng order bị đẩy xuống gần cuối và phải chờ nửa tiếng. Ra hỏi 2 lần nhân viên không được 1 câu xin lỗi. Thế là quá đủ để chấm 1* rồi. Mình có thể trả giá rẻ hơn thế này trên SG, thái độ nhân viên tốt hơn và phục vụ nhanh hơn. Bọn mình chi tiền ra không phải ăn xin mà thái độ như thế.",0
6,"Quán decor theo kiểu đơn giản, mộc mạc. Trà xí muội uống ngon, chua mặn vừa đủ. Trà sữa thơm béo, không quá ngọt, nhưng do mình đang chế độ kiêng đường nên muốn uống lạt mà quên dặn mất, nếu nhân viên hỏi gợi ý đường ít hay nhiều thì tốt hơn. Giá cả khá rẻ so với mặt bằng chung hiện tại. Nhân viên thì nhiệt tình, vui vẻ, có tư vấn cho mình các loại thức uống. Quán nằm ngay ngã tư lại trên con đường trung tâm nên rất dễ tìm.",4
7,"Thời tiết những ngày này thật khô nóng và khó chịu, vậy thì sao chúng ta không cùng bạn bè, gia đình hay người ấy đi ăn kem nhỉ???
Kem jolly sẽ là địa chỉ tuyệt vời của các bạn trẻ, vì sao? 
Vì ở đây kem vừa dẻo, mềm và thơm. Ngoài ra, lại vừa ngon, vừa mát, vừa bổ dưỡng. Bên cạnh đó, không gian quán lại rất đẹp, thoáng đãng, mát mẻ nên rất phù hợp cho giới trẻ selfie các kiểu. Giá cả hạt dẻ vô cùng phù hợp với các bạn trẻ, với phương châm vừa ngon, vừa bổ dưỡng và phù hợp túi tiền , hy vọng Kem jolly sẽ mang đến địa chỉ đáng tin cậy của quý khách! 
Nào hãy nhanh chân đến với jolly 121 Lê Lợi để tận hưởng và cảm nhận nào các bạn !!!",4
8,"Cứ về qn là hẹn hò với cô bạn ở quán này, view đẹp thoáng mát đồ uống, bánh đều ngon và rất thích, thích nhất kem youghurt ở quán",5
9,"Đúng nghĩa với cái tên của quán, kem ý! Phong cách làm việc phong cách của quán và thức ăn rất tây và ngon ạ. Quán có kem bánh nước, rất ngon đúng với đồng tiền mình bỏ ra.view đẹp sang trọng không gian ko chật ko rộng nhưng ấm cúng. Với tầm giá tiền đó thì rất hợp lý cho các bạn sinh viên hay gia đình nhé. Đã ăn là muốn ăn nữa :))) mình đã thưởng thức và sẽ đến để tiếp tục thưởng thức thêm nhưng món ngon tiếp theo. Very good.",4
