Review,a0,a1,a2,a3,a4,a5
"Nơi đó thật kinh khủng, chúng tôi nhìn thấy những con gián lớn đang bò trên sân thượng ngay bên cạnh chúng tôi. Vấn đề vệ sinh thực sự tồi tệ, những chiếc nĩa và đồ đan rất tệ cần được rửa sạch. Tránh nhà hàng này!",0,0,1,1,0,0
"Quán sạch sẽ, món ăn tươi ngon, giá lại rẻ",0,0,0,5,0,0
"Phục vụ mãi mãi, thức ăn không ngon, và họ thậm chí còn tính phí bạn sử dụng khăn ướt trên bàn! Họ liên tục bỏ thức ăn vào nhầm bàn và phải tìm xem ai lấy gì. Chỉ là khủng khiếp. Cách định giá quá cao là tốt. Đáng lẽ chúng ta nên để một lần uống nước và một cốc bia mất gần 30 phút để lấy! Lượt xem vẫn ổn, nhưng quầy bar khách sạn của chúng tôi có tầm nhìn đẹp hơn và ít nhất là dịch vụ nhanh hơn! Đừng lãng phí tiền của bạn ở đây, xin vui lòng!",0,0,0,2,0,0
"Nhiều món đăc trưng : Vú nàng nướng mỡ hành, bọ biển, bào ngư, cá Tà Ma, cá Dì,... có món sứa nước leo ngon",0,0,0,5,0,0
"Không phải là một cách tồi để đi giữa Sài Gòn và Vũng Tàu - chỉ mất khoảng một giờ 20 phút và bạn không phải lo lắng về giao thông. 
Những chiếc thuyền khá cũ. Họ có sẵn áo phao dưới mỗi ghế ngồi và không có sự cố nào khiến tôi tin rằng họ là những người lái tàu hoặc lái tàu không an toàn. Giá vé ngày thường là 200.000 đồng mỗi chiều và vé ngày cuối tuần lên đến 250.000 đồng mỗi chiều (tính đến tháng 6/2016).",0,0,0,0,2,0
Phòng và hồ bơi với tầm nhìn tuyệt vời để ngắm bình minh,4,4,0,0,0,0
"Mình ở Quy Nhơn từ nhỏ giờ. Thỉnh thoảng lâu lâu có bạn vào hay thuê xe máy để đi chơi. Mình cũng thử thuê ở nhiều chỗ khác nhau nhưng chỉ cảm thấy hài lòng với mỗi chổ của anh Hoài Bảo thôi. Xe ga hay xe số cũng đều mới kít, sạch sẽ, máy êm hơn xe nhà nữa í, đi xa đi gần đều chạy tốt. Đợt rồi mấy anh chị mình vào thuê xe máy và khen rất nhiều làm mình cũng vui theo, chúc cửa hàng ngày càng phát triển, làm ăn phát đạt, vẫn luôn giữ vững nhiệt huyết và cái tâm với nghề. Bắn tym",0,0,0,0,5,0
"Bãi biển và cảnh biển đẹp, dịch vụ ổn ko quá đắt, trải nghiệm đi ca nô ra đảo cho cảm giác mạo hiểm phấn khích.
",4,0,0,0,0,0
"Nhà thờ Mằng Lăng nằm cách thành phố Tuy Hòa, Phú Yên khoảng 35km về phía Bắc và là một trong những nhà thờ lâu đời nhất ở Phú Yên nói riêng và Việt Nam nói chung. Điểm nổi bật nhất nhà thờ chính là lối kiến trúc Gothic đặc sắc đã có từ cách đây khoảng 1200 năm trước Công Nguyên.
- Vào cổng miễn phí
- Gửi xe gần tiệm bán nước kế bên free nhé",5,0,0,0,0,0
"Sạch sẽ , yên tĩnh , ấm cúng",0,4,0,0,0,0
"Ngoài ra có phục vụ bánh ít lá gai & bánh hồng, 3,000₫/chiếc ăn chơi chơi cũng ngon.",0,0,0,3,0,0
"Dịch vụ xe tốt , tài xế chụp ảnh đẹp và nhiệt tình . Cần cải thiện thời gian đón khách nhanh hơn nữa . Cám ơn công ty đã đặt xe cho gia đình đi tham quan Nha Trang .
",0,0,0,0,3,0
"Đồ ăn tươi sống, chất lượng, phù hợp với giá tiền. Nhân viên phục vụ nhiệt tình. Sẽ giới thiệu cho bạn bè",0,0,0,5,0,0
"Đi cả tuần rùi mà mới có dịp review. Nhờ có đám bạn rủ mà tới giờ sau 25 nồi bánh tét mình mới biết tới massage kiểu này :D Vừa bước vô không gian tiệm là có liền cảm giác thoải mái ấm cúng luôn rồi, thêm kiểu thân thiện mến khách của mấy bạn nhân viên nữa thì tới đây mình chấm 9đ luôn khỏi cần massage gì hết hihi. Tới đoạn massage thì thôi khỏi bàn rồi huhu... ah đang massage có chị chủ ra chụp tấm hình nên mình xin đem về review giúp luôn nè. Phải quay lại mỗi tuần thôi ^^",5,0,0,0,0,0
"Lần đầu tiên thuê xe máy thấy có chổ bảo làm hợp đồng cho thuê xe. Chuyên nghiệp, có nhiều điều khoản bảo vệ khách hàng như chịu trách nhiệm khi xe gặp hư hỏng hay sự cố, xe tốt và bạn chủ rất nhiệt tình. Thuê 3 xe số 3 ngày giá chỉ 900k, rất tiết kiệm chi phí cho chuyến du lịch , thanks",0,0,0,0,4,0
"Bãi biển cho du khách tắm, ở đây toàn những nhà hàng hải sản. Chưa tới nơi đã có người giới thiệu dẫn đi tour ra đảo
",5,0,0,0,0,0
"Nhà sách lâu năm. Chuyên đồ dùng văn phòng và sách cũ. Chủ chu đáo, nhẹ nhàng, giá cả hợp lý.",0,0,0,0,0,5
"Lý do không phải là 5 * là dây an toàn ở phía sau sẽ không buộc chặt. Nó có thể là một chút đáng sợ trong giao thông bắt đầu dừng của
 Hồ Chí Minh nếu bạn không bị buộc vào.",0,0,0,0,2,0
"Đây là một cảng hàng không quốc tế và quốc nội. Vừa được đầu tư xây dựng mở rộng nhà Ga.
Kiến trúc đẹp mắt, trang thiết bị hiện đại kèm sự phục vụ ân cần chu đáo của nhân viên an ninh, mặt đất khiến mình có cảm tình ở nơi này.
Duy có việc chèo kéo mời gọi đi xe của các hãng taxi vẫn còn tồn tại cũng ảnh hưởng phần nào đối với thành phố Du lịch Quy Nhơn.
Các món ăn, nước uống ở đây giá cũng tương đối rẻ, không quá mắc.
Mới được đầu tư, xây mới nên trang thiết bị, nhà vệ sinh rất OK.",0,0,0,3,3,0
"Mình có ghé quán mua 2 lần. Lần 1 thì anh nhân viên làm nhanh tay quá quên bỏ hương vị cho mình để mình phải nhắc dù quán buổi trưa không đông khách. Lần 2 thì mình kêu ít đá chị nhân viên bán chị bỏ ít trà sữa lại luôn. Ủa mình kêu ít đá chứ có bỏ ít trà sữa lại đâu, đáng lẽ trà sữa vẫn phải đc giữ mức bình thường chứ. Quán bán bình dân quá nên làm ăn gian lận là bình thường phải ko?!. Đã vậy kêu bỏ hương vị trà xanh mà siro trà xanh có chút xíu nằm ở dưới đáy ly, uống thì toàn trà sữa truyền thống ko chứ có thấy vị trà xanh gì đâu. Đã vậy còn nghe nói trà sữa có thuốc tẩy? Đổ ra sàn nhà chỗ nào chỗ đó sạch bóng mà. Được cái vị ngon và nhiều thạch thôi chứ bán như thế này hết muốn quay lại lần nữa. Bực mình!!!.",0,0,0,1,0,0
"Không gian đẹp với kiến trúc thiết kế theo kiểu Pháp cổ. Nhân viên thân thiện, nhiệt tình. Đồ ăn ngon, đa dạng của các vùng miền khác nhau trên cả nước. 10/10",5,0,5,5,0,0
"Các bạn muốn qua đây thì search google maps là Bến Tàu Hàm Tử Đi Cù Lau Xanh. Như vậy sẽ dễ kiếm hơn, trên địa chỉ foody sai rồi. Đến đó bạn hỏi ngta tàu qua Hải Minh trong (vì có Hải Minh ngoài nữa, là nơi tượng đài Trần Hưng Đạo). Rồi nói ngta đưa đến Nhà Hàng Bè Nổi Biển Đông là ngta biết à. Rồi vô vấn đề chính, đồ ăn tươi ngon, giá hợp lý, không mắc nếu so với giá trên SG. Có câu cá free mà câu hoài ko đc con nào buồn dễ sợ :))).",0,0,0,5,0,0
"Cảnh đẹp , có thể bao quát hết khu vực bãi biển của thành phố , đi lại thuận tiện , cây xanh nhiều lên rất mát mẻ
",0,4,0,0,0,0
"Đã đến đây vào buổi tối đầu tiên như đối diện khách sạn, đã có một bữa ăn tuyệt vời với giá cả hợp lý (cho một người nghỉ ngơi). Thực đơn phong phú, một vài lựa chọn phong cách phương Tây, sạch sẽ và đồ ăn được phục vụ trong thời gian hợp lý. Ăn ở đây một vài lần và đều ấn tượng mỗi lần. Chắc chắn đáng để đi.",4,0,0,5,0,0
"giá phòng ok, phòng sạch sẽ, view biển đẹp",0,4,0,0,0,0
Lái xe gọi hẹn giờ trước và đợi đón đúng giờ. Nên sử dụng dịch vụ xe đưa đón san bay Phù Cát của đơn vị này.,0,0,0,0,4,0
Ksan rất chu đáo trong việc tìm xe giúp khách và sắp xếp hỗ trợ tour tham quan. Ngoài ra ac lễ tân cũng rất là thân thiện và nhiệt tình.,0,5,0,0,0,0
"đặt booking không rõ là phòng tầng thấp. lúc nhận phòng thì phòng phía dưới, cách âm kém, ồn ào khi khách về. phòng phía dưới nên có muỗi",0,2,0,0,0,0
"Ở Đà Nẵng có 1 lần đi công việc ở Quy nhơn , ghé 1 lần mà nhớ mãi , không thể quên nổi. Kêu 1 ly trà trái cây pha rất vừa ý mình , view quán thì quá tuyệt luôn. Nếu có đi quy nhơn 1 lần nữa chắc chắn mình sẽ đến quán này",0,0,0,5,0,0
"Điều này, và chỉ có một, là chiếc taxi hợp pháp duy nhất để sử dụng. Tuy nhiên, họ sẽ chỉ đón bạn nếu được gọi trước. 
Họ đã thắng nhặt được nếu được ca ngợi.",0,0,0,0,1,0
Đầy đủ tiện nghi. Mình đi hai người book phòng đôi. Ở sạch sẽ như ở nhà vậy. Rất thích.,0,5,0,0,0,0
"Chúng tôi nghĩ rằng người lái xe đã rời đi từ lâu, khi chúng tôi bước ra, một người đứng đó mỉm cười với tấm biển có tên chúng tôi 
và chào chúng tôi một cách thân thiện.",5,0,0,0,5,0
"Các loại bánh ở đây ngon, khó tìm được một tiệm với giá bình dân ở trong tp nhỏ mà bánh thì có thể nói là đạt chuẩn của một tiệm bánh cao cấp đấy. Nhiều món ngon lạ như chè khúc bạch và caramel, bông lan trứng muối,... Rất thích. Ăn mà khỏi lo về giá là max thích.",0,0,0,5,0,0
"Món salad ngon, sốt cay vừa miệng, phần full topping rất nhiều, rau tươi, mè rang thơm lừng, cá hồi cay vừa và tươi , giá cả phù hợp, 3 người chỉ gọi 2 phần là no. Nhân viên dễ thương, nhiệt tình, view đẹp. Xứng đáng được 5 sao (y)",5,0,0,5,0,0
