,Review,a0,a1,a2,a3,a4,a5
0,"Nơi đó thật kinh khủng, chúng tôi nhìn thấy những con gián lớn đang bò trên sân thượng ngay bên cạnh chúng tôi. Vấn đề vệ sinh thực sự tồi tệ, những chiếc nĩa và đồ đan rất tệ cần được rửa sạch. Tránh nhà hàng này!",0,0,1,1,0,0
1,"Quán sạch sẽ, món ăn tươi ngon, giá lại rẻ",0,0,0,5,0,0
2,"Phục vụ mãi mãi, thức ăn không ngon, và họ thậm chí còn tính phí bạn sử dụng khăn ướt trên bàn! Họ liên tục bỏ thức ăn vào nhầm bàn và phải tìm xem ai lấy gì. Chỉ là khủng khiếp. Cách định giá quá cao là tốt. Đáng lẽ chúng ta nên để một lần uống nước và một cốc bia mất gần 30 phút để lấy! Lượt xem vẫn ổn, nhưng quầy bar khách sạn của chúng tôi có tầm nhìn đẹp hơn và ít nhất là dịch vụ nhanh hơn! Đừng lãng phí tiền của bạn ở đây, xin vui lòng!",0,0,0,2,0,0
3,"Nhiều món đăc trưng : Vú nàng nướng mỡ hành, bọ biển, bào ngư, cá Tà Ma, cá Dì,... có món sứa nước leo ngon",0,0,0,5,0,0
4,"Không phải là một cách tồi để đi giữa Sài Gòn và Vũng Tàu - chỉ mất khoảng một giờ 20 phút và bạn không phải lo lắng về giao thông. 
Những chiếc thuyền khá cũ. Họ có sẵn áo phao dưới mỗi ghế ngồi và không có sự cố nào khiến tôi tin rằng họ là những người lái tàu hoặc lái tàu không an toàn. Giá vé ngày thường là 200.000 đồng mỗi chiều và vé ngày cuối tuần lên đến 250.000 đồng mỗi chiều (tính đến tháng 6/2016).",0,0,0,0,2,0
5,Phòng và hồ bơi với tầm nhìn tuyệt vời để ngắm bình minh,4,4,0,0,0,0
6,"Mình ở Quy Nhơn từ nhỏ giờ. Thỉnh thoảng lâu lâu có bạn vào hay thuê xe máy để đi chơi. Mình cũng thử thuê ở nhiều chỗ khác nhau nhưng chỉ cảm thấy hài lòng với mỗi chổ của anh Hoài Bảo thôi. Xe ga hay xe số cũng đều mới kít, sạch sẽ, máy êm hơn xe nhà nữa í, đi xa đi gần đều chạy tốt. Đợt rồi mấy anh chị mình vào thuê xe máy và khen rất nhiều làm mình cũng vui theo, chúc cửa hàng ngày càng phát triển, làm ăn phát đạt, vẫn luôn giữ vững nhiệt huyết và cái tâm với nghề. Bắn tym",0,0,0,0,5,0
7,"Bãi biển và cảnh biển đẹp, dịch vụ ổn ko quá đắt, trải nghiệm đi ca nô ra đảo cho cảm giác mạo hiểm phấn khích.
",4,0,0,0,0,0
8,"Nhà thờ Mằng Lăng nằm cách thành phố Tuy Hòa, Phú Yên khoảng 35km về phía Bắc và là một trong những nhà thờ lâu đời nhất ở Phú Yên nói riêng và Việt Nam nói chung. Điểm nổi bật nhất nhà thờ chính là lối kiến trúc Gothic đặc sắc đã có từ cách đây khoảng 1200 năm trước Công Nguyên.
- Vào cổng miễn phí
- Gửi xe gần tiệm bán nước kế bên free nhé",5,0,0,0,0,0
9,"Sạch sẽ , yên tĩnh , ấm cúng",0,4,0,0,0,0
10,"Ngoài ra có phục vụ bánh ít lá gai & bánh hồng, 3,000₫/chiếc ăn chơi chơi cũng ngon.",0,0,0,3,0,0
11,"Dịch vụ xe tốt , tài xế chụp ảnh đẹp và nhiệt tình . Cần cải thiện thời gian đón khách nhanh hơn nữa . Cám ơn công ty đã đặt xe cho gia đình đi tham quan Nha Trang .
",0,0,0,0,3,0
12,"Đồ ăn tươi sống, chất lượng, phù hợp với giá tiền. Nhân viên phục vụ nhiệt tình. Sẽ giới thiệu cho bạn bè",0,0,0,5,0,0
