,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
0,"Tính ra mình chỉ ghé thăm thành phố này được vài lần hà nhưng cũng đã đến được nhiều nơi để ăn uống và khám phá lắm.
Chổ nhà hàng này mình có được dịp ghé ngay hôm đầu tiên bước đến thành phố Qui Nhơn để mà du lịch, phải nói rằng là chổ nhà hàng này cực kỳ rộng rãi luôn vừa là nhà hàng vừa là trung tâm hội nghị tiệc cưới lại có bán đồ ăn sáng và cà phê sáng các kiểu nữa. Trung tâm Hoàng Yến này cực kỳ đa dạng, đồ ăn thì ngon lắm, ăn mà no căng cái bụng luôn, nhân viên của nhà hàng lại cực kỳ làm mình hài lòng vì vừa vui vẻ lại còn rất chuyên nghiệp nữa ^^",0,0,4,4,0,0
1,"Nge nói đây là loại socola Karmello nhập từ Balan. Mẫu mã đẹp thiệt và dự là sẽ rất hot trong mùa valentine năm nay )) 1 hộp là 30 viên, được mix 30 mùi khác nhau với 30 hình khác nhau luôn. Nge nói chất lượng rất ổn, giá thì tầm 340-350 một hộp thì phải. Valentine mà ko có anh nào tặng thì cũng đang định tự mua 1 hộp về ăn cho biết mùi sicula Ba Lan :))",0,0,0,0,0,4
2,"Dù cho Quy Nhơn đang càng có nhiều nhà hàng mới mở hay bao nhiêu thương hiệu gà rán đi chăng nữa thì rõ ràng Cơm gà Quê Hương vẫn là một thương hiệu không bao giờ phai nhạt trong lòng người dân Quy Thành
Cơm gà ở đây ngon từ cơm tới gà, một hương vị rất riêng, gà là gà ta, chắc thịt, lớp da gà được chiên giòn mà không cần dùng tới các loại bột chiên giòn.
Mở hộp cơm ra là thấy mùi thơm ngào ngạt. Nói tóm lại là thèm quá.
Thật ra nhà hàng Quê Hương nấu ngon lắm, nhưng hầu hết mọi người tới đây đều ăn cơm gà nên thành thương hiệu luôn ấy ^^
Hôm nào lễ được thưởng thì làm ngay 1 phần nào",0,0,4,4,0,0
3,"Đợt companytrip vừa rồi cty mình có nghỉ ở đây. Sảnh lễ tân nhìn cũng sang kiểu gỗ gỗ ý. Đồ gỗ quá trời luôn, nhân viên checkin cũng dễ thương. Phòng mình nằm ở khu xa lắc xa lơ, tuốt trên lầu 2 khó kiếm, mà nhân viên cũng chủ dẫn đến dưới trệt thoy, để tự khiêng vali lên luôn😂😂 phòng thì hơi cũ, rộng rãi nhưng không okay lắm. Nếu kêu chuẩn 4sao thì hk xứng đáng lắm",0,3,0,0,0,0
4,"Ở đây 2 ngày, 2 đêm, phòng view biển khá đẹp. Trong phòng đầy đủ tiện nghi, mỗi tội chăn mền có mùi cũ, nên thấy ghê ghê. Nhà hàng đồ ăn khá ổn, phục vụ vui vẻ, nhiệt tình. Có buffet sáng free, đồ cũng đa dạng.",0,3,4,0,0,0
5,"Quán rộng rãi, đồ ăn thì phải nói là ngon tuyệt. nhân viên phục vụ nhiệt tình, anh chị chủ quán cũng vui tính. Lần đầu mình tới Quy Nhơn được bạn bè giới thiệu quán này tự nhiên thấy có thiện cảm với mảnh đất này.;Với một mức giá khá là hợp lí cùng với không gian rộng rãi, thoáng mát chả trách quán đông khách, cứ tầm 8h tối là khách đông lắm. Mình đặc biệt thích món đậu hủ khói lửa ở đây. Nghe mấy đứa bạn bảo ở Quy Nhơn nhiều quán nấu món này nhưng ở đây là ok nhất. Chắc chắn sẽ ghé lại trong thời gian tới!",0,0,4,4,0,0
6,"Về không gian và khung cảnh của khách sạn thì nói chung là chấp nhận được. Thứ nhất là do gần trung tâm thành phố và trước cổng cũng có nhiều hàng quán ăn được. Khách sạn cũng có nhiều cây xanh thoáng mát. Đồ ăn sáng nói chung cũng tạm được nếu không quá khăt khe. 
Tuy nhiên về chất lượng dịch vụ thì khá tệ, các phòng quá xa nhau và không có bản hướng dẫn nên tìm phòng khá khó khăn. Phòng mình thì không bị hỏng hóc gì nhưng thiếu mất cái bàn gỗ, gọi hỏi thì nhân viên bảo đang sửa, xong sẽ báo mà chờ hoài không thấy đâu, nhưng vẫn đỡ hơn mấy phòng bên cạnh có phòng hư ổ khóa, có phòng hư cả toilet. không biết khách sạn có cho người bảo trì thường xuyên không. Mọi người tốt nhất nên kiểm tra kĩ khi đặt phòng ở khách sạn này,",0,2,0,3,0,0
7,"Cũng đẹp, ko rộng lắm, đi và ngắm trong vòng 1 tiếng là hết. Lối đi có phủ mành che nên cũng mát mẻ, nhiều WC và chỗ bán kem nước. Thú cũng ko nhiều lắm. Các bạn nhỏ vô đây chắc thích. Nhân viên nhiệt tình và thân thiện trả lời hướng dẫn khách.",4,0,0,0,0,0
8,Cafe ở đầy ko gian thì đc. Nhưng fục vụ thì chưa ổn. 1 hoặc 2 nhân viên thiếu nhiệt tình làm ảnh hưởng chung đến wán.,0,0,0,2,0,0
9,"Hồi trước mình đi chùa ông núi đã đi biển trung lương 1 lần rồi. Nay quy nhơn phát triển khu dã ngoai trung lương, bạn mình tới chơi nên 2 đứa dắt díu đi. Đường đi dễ tìm và cũng ko xa mấy. Thích nhất là nhìn ngắm cảnh vật 2 bên đường đi, biển trong xanh, êm đềm thơ mộng. tới nơi rất đông, mặc dù mình tới tầm ban trưa. phí giữ xe 10k còn lại ko tốn vé vào cổng. ở đây có thêm 1 quán cafe,1 nhà hàng, khu cắm trại qua đêm, một số phòng thay đồ",4,0,0,0,0,0
